iid	lat	long	time	sex	analyis_label	label	source	udg	data_type	location	country	coverage	n_snps
NA15733	50.1	14.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA15726	50.1	14.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA15727	50.1	14.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA15728	50.1	14.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA15729	50.1	14.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA15730	50.1	14.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA15731	50.1	14.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA15724	50.1	14.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA15732	50.1	14.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00103	56	-3.9	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00104	56	-3.9	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00105	56	-3.9	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00106	56	-3.9	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00128	50.3	-4.9	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00129	50.3	-4.9	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00130	50.3	-4.9	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00131	50.3	-4.9	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00233	50.3	-4.9	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00234	50.3	-4.9	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00232	50.3	-4.9	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01500	37.4	-6	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
